query_id,warehouse_name,user_name,role_name,start_time,end_time,total_elapsed_ms,bytes_scanned,rows_produced,query_text
Q00-000,WH_INGEST,chloe,ANALYST,2024-01-01T13:30:00,2024-01-01T13:30:01.122000,1122,5043115,3755,"select region, sum(revenue) from revenue group by 1"
Q00-001,WH_CORE,diego,SYSADMIN,2024-01-01T21:12:00,2024-01-01T21:12:00.869000,869,1239110,4414,select * from sessions where user_id = 'diego' limit 100
Q00-002,WH_FINOPS,ben,DATA_ENGINEER,2024-01-01T11:54:00,2024-01-01T11:54:00.613000,613,4108412,3037,"select region, sum(revenue) from revenue group by 1"
Q00-003,WH_ANALYTICS,ellen,SECURITY,2024-01-01T10:19:00,2024-01-01T10:19:04.383000,4383,141249,4553,"select region, sum(revenue) from revenue group by 1"
Q00-004,WH_CORE,chloe,ANALYST,2024-01-01T03:56:00,2024-01-01T03:56:00.926000,926,2617983,2241,"select region, sum(revenue) from revenue group by 1"
Q00-005,WH_FINOPS,frank,ANALYST,2024-01-01T11:42:00,2024-01-01T11:42:01.717000,1717,4438914,4150,create temporary table stage_0 as select * from raw_events
Q00-006,WH_INGEST,ava,SYSADMIN,2024-01-01T21:39:00,2024-01-01T21:39:03.519000,3519,4651923,371,select count(*) from sales where order_date >= '2024-01-01'
Q00-007,WH_INGEST,frank,ANALYST,2024-01-01T08:56:00,2024-01-01T08:56:01.373000,1373,7422769,4529,create temporary table stage_0 as select * from raw_events
Q00-008,WH_FINOPS,ava,SYSADMIN,2024-01-01T02:34:00,2024-01-01T02:34:01.271000,1271,614451,3034,select * from inventory where updated_at >= '2024-01-01'
Q00-009,WH_FINOPS,diego,ANALYST,2024-01-01T04:21:00,2024-01-01T04:21:00.392000,392,5181716,2997,select count(*) from sales where order_date >= '2024-01-01'
Q00-010,WH_INGEST,frank,ANALYST,2024-01-01T08:31:00,2024-01-01T08:31:00.892000,892,5943742,4596,create temporary table stage_0 as select * from raw_events
Q00-011,WH_FINOPS,ben,TEMP_ROLE,2024-01-01T08:04:00,2024-01-01T08:04:01.381000,1381,2980445,3387,select count(*) from sales where order_date >= '2024-01-01'
Q00-012,WH_ANALYTICS,chloe,TEMP_ROLE,2024-01-01T14:03:00,2024-01-01T14:03:02.082000,2082,4486257,1314,select count(*) from sales where order_date >= '2024-01-01'
Q00-013,WH_SCIENCE,diego,SYSADMIN,2024-01-01T07:35:00,2024-01-01T07:35:01.684000,1684,7732606,2874,"select region, sum(revenue) from revenue group by 1"
Q00-014,WH_ANALYTICS,ava,ANALYST,2024-01-01T22:31:00,2024-01-01T22:31:01.632000,1632,6695149,2699,"select region, sum(revenue) from revenue group by 1"
Q00-015,WH_CORE,chloe,DATA_ENGINEER,2024-01-01T21:53:00,2024-01-01T21:53:04.223000,4223,6715490,4402,"select region, sum(revenue) from revenue group by 1"
Q00-016,WH_CORE,chloe,SYSADMIN,2024-01-01T06:05:00,2024-01-01T06:05:02.224000,2224,651849,898,select * from inventory where updated_at >= '2024-01-01'
